label,featureA,featureB
2,-0.443247,-0.503664
2,-1.20894,0.0888481
2,0.98653,0.392077
2,1.23993,0.7153
2,1.44976,-0.815302
2,1.55406,-2.18596
2,-1.16396,-2.03114
2,0.21422,-1.50045
1,0.35803,0.178656
2,-0.423409,0.256985
2,-1.46176,1.7401
2,0.963558,-1.47254
2,-0.320805,-0.409939
1,0.031496,-1.01337
2,1.06235,0.51233
1,0.0309555,-0.146001
2,1.79239,-0.716878
2,-1.3357,-0.0451302
2,1.17072,-0.237782
2,-1.02591,0.198479
2,-0.422904,-0.344329
1,0.827019,0.3271
2,-0.344204,-0.075004
2,-1.67873,-1.40255
2,-0.0940905,-0.310446
2,-0.844481,-0.358663
2,-1.03901,-0.761021
2,-0.316762,0.860047
2,1.3659,0.0576731
2,-0.980633,0.710528
1,0.196959,0.66124
2,-1.46763,0.0910375
1,-0.0161585,0.760116
1,0.568618,-0.0555321
1,0.216354,0.520912
2,0.242425,1.54372
2,1.35212,-0.16998
2,1.05961,-0.744314
2,0.962468,-1.41005
1,0.0502451,-0.670285
2,1.17231,0.605465
2,-0.61996,0.0977649
2,-1.21379,-0.395903
2,1.16755,-1.39274
2,-0.879124,1.92524
2,0.103703,-2.12702
2,2.23733,1.92317
2,1.23884,-0.330682
2,-0.79502,1.16634
2,0.909853,3.5459
2,-0.280307,1.23075
2,-1.49479,1.25648
2,-0.296511,0.629372
2,-0.807218,-0.256742
2,-1.20339,0.133498
2,-0.190606,-0.529743
2,-0.218102,-0.848896
2,0.434971,-2.12983
2,3.4853,0.478802
2,0.964684,0.73549
2,-0.750793,-0.72556
1,0.684535,-0.373855
1,0.233289,-0.342702
1,0.0942286,-0.607952
2,-0.556206,-0.746086
1,0.181504,0.787929
2,1.99463,-0.233345
2,1.16207,-0.656953
2,-0.366469,0.872573
1,0.442889,-0.609178
2,0.194061,-1.23889
2,-0.436725,0.868055
2,1.12956,-0.668199
2,0.996798,2.08917
1,0.540536,0.821489
2,1.83261,-0.338029
1,0.210188,-0.567011
2,-1.55265,-0.0623606
1,0.310048,0.0160126
2,-0.150312,-0.417825
2,-1.45331,0.186921
2,1.06054,-0.638451
2,-0.0745992,1.04235
2,1.08955,1.18162
2,-0.129365,-0.906223
2,-1.3888,-1.13201
1,0.166363,-0.294028
2,-1.21402,-0.633395
2,0.469271,-1.03906
2,-1.68693,1.95392
2,-0.76057,-0.429659
2,-0.509313,0.971108
2,-1.27469,1.22902
1,0.0435197,-0.188614
2,-1.1104,-0.363675
2,-0.949936,1.07468
2,-1.32567,1.54744
2,-0.547689,-0.225615
2,-0.522536,0.00388464
2,-0.631385,-0.631016
2,-1.68649,1.0484
1,0.745218,-0.308088
2,1.16997,-1.3723
2,-0.607629,-1.33813
1,0.0861563,-0.0745356
2,0.463146,1.94773
1,0.346293,0.745753
2,-0.327549,1.43659
2,-0.292439,0.33949
2,0.655939,-0.00579807
1,-0.0150784,0.083554
2,-0.145127,-1.79808
2,-0.926753,0.0417845
1,0.71012,-0.0903759
1,-0.0222024,0.0768917
2,-1.74813,-1.03006
2,-1.73024,0.888871
2,-0.520689,0.473594
2,2.84426,0.0959805
2,0.404087,1.34967
2,1.38092,0.136201
2,-0.607855,-1.19872
2,-0.489288,2.02207
2,-1.75686,-0.643544
2,0.408366,0.378582
2,-1.1342,0.717626
2,0.885313,-1.87678
2,-0.219986,-0.447356
2,-0.124707,0.155639
2,-0.806694,-0.704238
2,-0.0383569,0.0560827
1,0.260968,-0.502025
2,-0.206876,1.08627
2,-0.69478,0.69015
2,-0.167734,-0.182545
2,1.29191,-0.641495
1,-0.0671304,0.721994
2,0.810381,1.42163
2,-0.283138,-0.664299
2,-0.409875,-2.2844
2,0.88035,0.954822
2,1.37229,1.1184
2,-0.249833,-1.26649
2,0.017744,1.29304
2,0.350668,1.11632
2,0.85223,0.959106
1,0.141111,-0.402218
2,-1.43332,-0.261397
